TIME_STEPS,1_value_of_option_for 1_stock_path,2_value_of_option_for 2_stock_path,3_value_of_option_for 3_stock_path,4_value_of_option_for 4_stock_path,5_value_of_option_for 5_stock_path,6_value_of_option_for 6_stock_path,7_value_of_option_for 7_stock_path,8_value_of_option_for 8_stock_path,9_value_of_option_for 9_stock_path,10_value_of_option_for 10_stock_path,11_value_of_option_for 11_stock_path,12_value_of_option_for 12_stock_path,13_value_of_option_for 13_stock_path,14_value_of_option_for 14_stock_path,15_value_of_option_for 15_stock_path,16_value_of_option_for 16_stock_path,17_value_of_option_for 17_stock_path,18_value_of_option_for 18_stock_path,19_value_of_option_for 19_stock_path,20_value_of_option_for 20_stock_path,21_value_of_option_for 21_stock_path,22_value_of_option_for 22_stock_path,23_value_of_option_for 23_stock_path,24_value_of_option_for 24_stock_path,25_value_of_option_for 25_stock_path,26_value_of_option_for 26_stock_path,27_value_of_option_for 27_stock_path,28_value_of_option_for 28_stock_path,29_value_of_option_for 29_stock_path,30_value_of_option_for 30_stock_path,31_value_of_option_for 31_stock_path,32_value_of_option_for 32_stock_path,33_value_of_option_for 33_stock_path,34_value_of_option_for 34_stock_path,35_value_of_option_for 35_stock_path,36_value_of_option_for 36_stock_path,37_value_of_option_for 37_stock_path,38_value_of_option_for 38_stock_path,39_value_of_option_for 39_stock_path,40_value_of_option_for 40_stock_path,41_value_of_option_for 41_stock_path,42_value_of_option_for 42_stock_path,43_value_of_option_for 43_stock_path,44_value_of_option_for 44_stock_path,45_value_of_option_for 45_stock_path,46_value_of_option_for 46_stock_path,47_value_of_option_for 47_stock_path,48_value_of_option_for 48_stock_path,49_value_of_option_for 49_stock_path,50_value_of_option_for 50_stock_path,51_value_of_option_for 51_stock_path,52_value_of_option_for 52_stock_path,53_value_of_option_for 53_stock_path,54_value_of_option_for 54_stock_path,55_value_of_option_for 55_stock_path,56_value_of_option_for 56_stock_path,57_value_of_option_for 57_stock_path,58_value_of_option_for 58_stock_path,59_value_of_option_for 59_stock_path,60_value_of_option_for 60_stock_path,61_value_of_option_for 61_stock_path,62_value_of_option_for 62_stock_path,63_value_of_option_for 63_stock_path,64_value_of_option_for 64_stock_path,65_value_of_option_for 65_stock_path,66_value_of_option_for 66_stock_path,67_value_of_option_for 67_stock_path,68_value_of_option_for 68_stock_path,69_value_of_option_for 69_stock_path,70_value_of_option_for 70_stock_path,71_value_of_option_for 71_stock_path,72_value_of_option_for 72_stock_path,73_value_of_option_for 73_stock_path,74_value_of_option_for 74_stock_path,75_value_of_option_for 75_stock_path,76_value_of_option_for 76_stock_path,77_value_of_option_for 77_stock_path,78_value_of_option_for 78_stock_path,79_value_of_option_for 79_stock_path,80_value_of_option_for 80_stock_path,81_value_of_option_for 81_stock_path,82_value_of_option_for 82_stock_path,83_value_of_option_for 83_stock_path,84_value_of_option_for 84_stock_path,85_value_of_option_for 85_stock_path,86_value_of_option_for 86_stock_path,87_value_of_option_for 87_stock_path,88_value_of_option_for 88_stock_path,89_value_of_option_for 89_stock_path,90_value_of_option_for 90_stock_path,91_value_of_option_for 91_stock_path,92_value_of_option_for 92_stock_path,93_value_of_option_for 93_stock_path,94_value_of_option_for 94_stock_path,95_value_of_option_for 95_stock_path,96_value_of_option_for 96_stock_path,97_value_of_option_for 97_stock_path,98_value_of_option_for 98_stock_path,99_value_of_option_for 99_stock_path,100_value_of_option_for 100_stock_path,101_value_of_option_for 101_stock_path
11_possible_time_step,54.63005927301547,106.53410146944798,157.87970963768748,203.05664104803947,247.97063677213427,284.10485274117127,320.2763333130964,346.1361183887847,372.31517339213997,387.7750014817411,403.79878702715206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12_possible_time_step,54.6020011019274,108.50062046704592,157.79842120715463,206.68002216466652,247.84231778970755,288.89239785705723,320.1093033336979,351.51076400814327,372.1188985693406,393.1793281339524,403.58288419567845,414.660956809547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13_possible_time_step,55.62711816902228,108.44489420548335,160.6942719682351,206.57347161987937,252.1859897241765,288.74250729072793,325.3388630538453,351.32668408609163,377.6418049309049,392.9708451961967,408.875762845106,414.4375302579638,420.77165378515565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_possible_time_step,55.59860093472395,110.4808765805948,160.61168664281837,210.3192577130821,252.05572514734357,293.67947173657,325.1694900229242,356.84967267578196,377.4430544276381,398.4991536986256,408.65748545908946,419.5037406412007,420.54293294873,422.43842320279657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15_possible_time_step,56.660726684985356,110.42423857476892,163.60904101442392,210.21102957219267,256.54251361462406,293.5273696378768,330.55482633127514,356.66311781589275,383.10712814310966,398.28819189097754,414.0575395286866,419.2780399391495,425.2853021063005,422.2065001438491,420.0533466836828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16_possible_time_step,56.63173383709901,112.53372380050274,163.52511340521525,214.086003727039,256.4102394584605,298.6213137041613,330.3830406275111,362.34085253622936,382.90583890735127,403.94443138246817,413.83683978267817,424.4310857393079,425.0544508635176,426.54901806494263,419.82013752033896,414.0714598878518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17_possible_time_step,57.73307050129921,112.4761411797508,166.6298247467819,213.9760402242958,261.0478501548975,298.46692989811953,335.9315780804271,362.1517535934792,388.716483312128,403.730933592547,419.34658979623487,424.2030722021802,429.8612216371762,426.3151421959462,423.70962905982856,413.83867596916167,404.9879451417101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18_possible_time_step,57.703584503541926,114.66350310098987,166.5445068445159,217.98751908807958,260.9134989851422,303.725950185433,335.75730675926627,367.99100433804796,388.51258987314253,409.5191665701302,419.1234187550065,429.443957440445,429.6282113629541,430.6990369640465,423.47466829733185,417.2449900871278,404.75707453394756,393.3155456222028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_possible_time_step,58.84652097578178,114.60494103654534,169.7629087274918,217.87575918238306,265.71022425456977,303.5692108728996,341.47695716806317,367.7992891373234,394.4754566735186,409.30307386671535,424.74536570539584,429.21359193152824,434.49891409693413,430.46318998655556,427.3833586161777,417.0106690699657,407.67187731969267,393.0878448202688,379.5635406350053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_possible_time_step,58.8165232223644,116.87492422973025,169.67614968749385,222.03164794086769,265.5737249249763,309.00198934892785,341.30012374371387,373.8072168876827,394.26889103100604,415.2274708536482,424.51967331321237,434.5431754216447,434.2637163720854,434.8866827981519,427.14663790790553,420.41610561824933,407.43968761533677,395.5222158315012,379.3400358101714,364.2194066472866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
